	iso	lang_name	bible_name	bible_id	population	country	video_date	audio_date	text_date	
	bmr	Muinane	2009 Wycliffe Bible Translators	BMRWBT	150	Colombia	2021-02-02	2021-05-04	2018-03-22	
	xtd	Mixteco, Diuxi-Tilantongo	La Liga Bíblica 2001	XTDTBL	3410	Mexico	2021-02-02	2021-07-02	2018-04-13	
	zyb	Zhuang, Yongbei	New Bridge Publishing Company Limited, 2016	ZYBNBP	1980000	China	2021-01-29	2022-02-10	2018-04-04	
	ada	Dangme	1999 Bible Society of Ghana	ADADFB	800000	Ghana	2021-01-28	2021-05-27	NULL
	lon	Elhomwe	The Bible Society of Malawi, 2014	LONEFB	850000	Malawi	2021-01-28	2022-03-01	2018-11-14	
	mdv	Mixteco de Santa Lucía Monteverde	Wycliffe Bible Translators, Inc.	MDVWYI	5430	Mexico	2021-01-28	2022-02-09	2020-03-06	
	muh	Mündü	2005 Wycliffe Bible Translators Inc.	MUHWBT	23000	South Sudan	2021-01-27	2022-03-01	2018-04-04	
	ndp	Kebu	1993 Bible Society of Uganda	KDPBSU	33800	Uganda	2021-01-27	2022-03-01	2021-06-08	
	mev	Mano	1978 Bible Society in Liberia	MEVBSL	305000	Liberia	2021-01-27	2022-03-01	2021-07-15	
	guo	Guayabero	Wycliffe Bible Translators Inc.	GUOWBT	1000	Colombia	2021-01-27	2022-03-02	2018-04-13	
	aka	Akan: Asante	Asante-Twi Bible With Deutero-Canons	AKAASA	NULL	Ghana	2021-01-27	NULL,NULL
	ngu	Nahuatl, Guerrero	2012 Bible League	NGUTBL	150000	Mexico	2021-01-27	2021-07-01	2022-04-07	
	meq	Merey	2012 Wycliffe Bible Translators, Inc.	MEQWBT	10000	Cameroon	2021-01-27	2021-09-09	2018-04-13	
	soy	Sola	2011 SIM	SOYSIM	7000	Benin	2021-01-27	2022-03-02	2018-04-13	
	gaa	Ga	1977 Bible Society of Ghana	GAAGNT	600000	Ghana	2021-01-26	2018-04-14	NULL
	cbr	Kakataibo	1978/1995 The Bible League	CBRWBT	1150	Peru	2021-01-26	2021-05-24	2018-04-04	
	qvz	Quichua, Northern Pastaza	1992 Wycliffe Bible Translators Inc.	QVZWBT	8000	Ecuador	2021-01-26	2022-03-02	2022-04-06	
	stp	Tepehuan de Durango	2007, Wycliffe Bible Translators, Inc.	STPTBL	10600	Mexico	2021-01-26	2022-02-09	2018-04-13	
	gaq	Didei	The Word For The World	GAQWFW	3060	India	2021-01-21	2021-10-29	2021-03-10	
	cak	Cakchiquel Santo Domingo Xenacoj	Wycliffe Bible Translators, Inc.	CKJWBT	NULL	Guatemala	2021-01-21	2021-10-26	2021-10-26	
	cok	Cora, Santa Teresa	2016 Wycliffe Bible Translators, Inc.	COKWBT	3880	Mexico	2021-01-21	2021-06-29	2018-03-22	
	agn	Agutaynen	2004 WPS	AGNWPS	15000	Philippines	2021-01-21	2021-05-24	2020-01-15	
	cnl	Chinanteco de San Juan Lalana	2012 Wycliffe Bible Translators, Inc.	CNLTBI	10700	Mexico	2021-01-21	2021-05-24	2018-04-04	
	cco	Chinantec, Comaltepec	2002, Wycliffe Bible Translators, Inc	CCOTBL	2000	Mexico	2021-01-21	2021-05-24	2018-04-13	
	zty	Zapoteco, Yatée	2002, Wycliffe Bible Translators, Inc	ZTYTBL	5000	Mexico	2021-01-21	2022-02-10	2018-04-13	
	ndy	Rito	2015 Bibles International	NDYBIV	17000	Central African Republic	2021-01-18	2022-03-01	2018-04-04	
	gag	Gagauz	Institute for Bible Translation, Moscow	GAGIB1	138000	Russia	2021-01-18	2022-02-11	2021-06-25	
	nwi	Nɨvhaar	2012 Wycliffe Bible Translators, Inc.	NWIWBT	4500	Vanuatu	2021-01-14	NULL,NULL
	ogo	Khana	1968 Bible Society of Nigeria	OGOBSN	200000	Nigeria	2021-01-14	2022-03-01	NULL
	urh	Urhobo	1977 Bible Society of Nigeria	URHUBS	546000	Nigeria	2021-01-13	2022-03-02	NULL
	ndz	Ndogo	2001 Wycliffe Bible Translators Inc.	NDZWBT	20000	South Sudan	2021-01-13	2022-03-01	2018-04-04	
	jic	Tol	2008 Wycliffe Bible Translators Inc.	JICWBT	350	Honduras	2021-01-13	2022-03-01	2022-04-05	
	kbr	Kafa	2010 SIM	KBRSIM	834000	Ethiopia	2021-01-13	2022-03-01	2018-04-04	
	mbb	Manobo, Western Bukidnon	2001 WPS	MBBWPS	15000	Philippines	2021-01-13	2022-03-01	2018-04-13	
	kak	Kalanguya	New Tribes Mission 2004	KAKNTM	15000	Philippines	2021-01-08	2022-03-01	2021-02-25	
	mda	Mada	1999 Wycliffe Bible Translators Inc.	MDAWBT	100000	Nigeria	2021-01-08	2022-03-01	2022-04-06	
	kfc	Kondaporja	The Word For The World	KFCWFW	NULL	India	2021-01-08	2021-10-26	2021-10-26	
	mio	Mixteco, Pinotepa Nacional	2013 Wycliffe Bible Translators, Inc.	MIOWBT	20000	Mexico	2021-01-08	2021-07-01	2018-04-13	
	ttc	Tektiteko	2003 Wycliffe Bible Translators Inc.	TTCWBT	4900	Guatemala	2021-01-07	2022-03-02	2018-04-13	
	mca	Maka	2013 Wycliffe Bible Translators Inc.	MCAWBT	1500	Paraguay	2021-01-07	2022-03-01	2022-04-06	
	nwb	Nyaboa	1991 Wycliffe Bible Translators Inc.	NWBWBT	42700	Ivory Coast	2021-01-07	2021-06-30	2018-04-04	
	hyw	Armenian, Western	Արեւմտահայերէն Նոր Կտակարան - Western Armenian N.T. 1853 (with 2017 adaptations)	HYWWAV	1400000	Lebanon	2021-01-05	2021-11-16	2021-11-16	
	acu	Achuar-Shiwiar	1983 Bible League International	ACUTBL	3000	Peru	2021-01-05	2021-04-22	2022-05-19	
	lom	Lorma	1971 Bible Society in Liberia	LOMBSL	195000	Liberia	2021-01-05	2022-03-01	2021-07-15	
	hau	Hausa	Littafi Mai Tsarki	HAULPF	18500000	Nigeria	2021-01-04	NULL,NULL
	acd	Gikyode	2001 Wycliffe Bible Translators Inc.	ACDWBT	10400	Ghana	2020-12-31	2021-04-22	2022-04-05	
	nhx	Nahuatl, Tatahuicapan	Wycliffe Bible Translators, Inc	NHXNHX	NULL	Mexico	2020-12-31	2022-03-01	2018-03-22	
	maz	Mazahua, Central	2007 La Liga Bíblica	MAZTBL	74000	Mexico	2020-12-31	2022-03-01	2018-04-13	
	cjo	Ashéninka Pajonal	2008, Wycliffe Bible Translators, Inc	CJOWBT	12000	Peru	2020-12-31	2021-07-20	2018-03-22	
	tvw	Sedoa	Indonesian Bible Society Edition	TVWLAI	900	Indonesia	2020-12-31	2022-03-02	2022-04-06	
	orc	Orma	2016 First Edition Bible Translation & Literacy	ORCBTL	66300	Kenya	2020-12-29	2022-03-01	2021-05-14	
	bdh	Baká	Wycliffe Bible Translators, Inc	BDHWBT	25000	South Sudan	2020-12-29	2021-04-23	2022-04-04	
	prt	Prai	Bible Society in Turkey	PRTETS	20000	Thailand	2020-12-29	2022-03-02	2021-06-18	
	twu	Rote	Today's Rote Version, 2004	TWULAI	30000	Indonesia	2020-12-29	2022-03-02	2018-04-04	
	hto	Huitoto, Minica	1985 Wycliffe Bible Translators Inc.	HTOWBT	6800	Colombia	2020-12-29	2022-03-02	2022-04-05	
	huv	Huave, San Mateo del Mar	1996 Bible League International	HUVTBL	11000	Mexico	2020-12-28	2022-03-02	2018-04-13	
	far	Fataleka	2017 Wycliffe Bible Translators, Inc	FARWBT	6700	Solomon Islands	2020-12-22	2022-02-08	2018-04-04	
	boa	Bora	1982 Bible League International	BOATBL	2330	Peru	2020-12-22	2021-05-04	2018-04-13	
	amf	Banna	Ethiopian Kale Heywet Church / SIM, 2014 A.D.	AMFSIM	74400	Ethiopia	2020-12-22	2021-06-29	2018-04-13	
	kub	Kutep	1995 Bible League Intl.	KUBTBL	44600	Nigeria	2020-12-22	2022-03-01	2022-04-06	
	tav	Tatuyo	2009 Wycliffe Bible Translators Inc.	TAVWBT	400	Colombia	2020-12-15	2022-03-02	2018-04-13	
	sey	Secoya	Maija'quë Huajë Ca Nëose'e	SEYWBT	550	Ecuador	2020-12-15	2022-03-02	2018-03-22	
	kdi	Kumam	2006 Bible Society of Uganda	KDIBSU	174000	Uganda	2020-12-15	2022-03-01	2018-03-22	
	anv	Denya	2010 CABTAL	ANVWBT	11200	Cameroon	2020-12-14	2021-05-23	2018-09-17	
	shp	Shipibo	2012 Wycliffe Bible Translators, Inc.	SHPTBL	26000	Peru	2020-12-14	2022-03-02	2018-05-16	
	kdj	Karimojong	1996 Bible Society of Uganda	KDJBSU	260000	Uganda	2020-12-14	2022-03-01	2018-03-22	
	dar	Dargin	2013 Institute for Bible Translation, Moscow	DARIBT	486000	Russia	2020-12-14	2021-05-30	2021-12-09	
	tpt	Tepehua, Tlachichilco	2004 Bible League International	TPTTBL	3000	Mexico	2020-12-14	2022-03-02	2018-04-13	
	poi	Popoluca de la Sierra	La Liga Biblica 1977, 1997	POIWBT	30000	Mexico	2020-12-14	2022-03-02	2018-04-04	
	bzh	Buang, Central	2003 Bible Society of Papua New Guinea	BZHPNG	10500	Papua New Guinea	2020-12-14	2021-05-30	2018-03-22	
	cou	Wameỹ	2018 Wycliffe Bible Translators, Inc	COUWBT	18400	Senegal	2020-12-14	2022-02-07	2022-04-05	
	ura	Urarina	2006 Bible League International	URATBL	3000	Peru	2020-12-14	2022-03-02	2018-04-13	
	sbl	Sambal, Botolan	2005 Bible League	SBLTBL	32900	Philippines	2020-12-14	2022-03-02	2018-04-04	
	ijc	Izon	2009 Bible Society of Nigeria	IJCNEW	1000000	Nigeria	2020-12-14	2021-05-25	NULL
	npl	Nahuatl, Southeastern Puebla	2011 Wycliffe Bible Translators, Inc.	NPLWYI	92000	Mexico	2020-12-11	2022-03-01	2018-04-13	
	rug	Roviana	2017 Wycliffe Bible Translators, Inc	RUGWBT	9870	Solomon Islands	2020-12-11	2022-03-02	2018-03-22	
	nyd	Lunyore	Bible Society of Kenya, 2000	NYDBSK	311000	Kenya	2020-12-11	2022-03-01	NULL
	bno	Bantoanon	2016 Wycliffe Bible Translators, Inc	BNOWBT	75000	Philippines	2020-12-10	2022-02-07	2018-04-04	
	lln	Lele (Chad)	1991 Bible Society of Chad	LLNCHD	26000	Chad	2020-12-10	2022-03-01	2018-04-04	
	dip	Dinka, Padang	2009 Bible Society of South Sudan	DIPBSS	320000	South Sudan	2020-12-10	2022-03-02	2022-04-05	
	nlc	Nalca	2000 Lembaga Alkitab Indonesia	NLCLAI	11100	Indonesia	2020-12-10	2022-03-01	2018-03-22	
	kma	Koma	2004 Wycliffe Bible Translators Inc.	KMAWBT	3800	Ghana	2020-12-10	2022-03-01	2018-04-04	
	kdc	Kutu	PBT Edition	KDCPBT	45000	Tanzania	2020-12-10	2022-03-01	2018-04-13	
	nhx	Náhuatl, Mecayapan (Istmo)	Wycliffe Bible Translators, Inc	NHXNFB	20000	Mexico	2020-12-10	2022-03-01	2018-04-04	
	bjw	Bakwé	2018 Wycliffe Bible Translators, Inc	BJWWYI	10300	Ivory Coast	2020-12-10	2021-04-24	2021-06-23	
	etu	Ejagham	1996 Cameroon and Nigeria	ETUBSC	67300	Cameroon	2020-12-10	2018-12-11	NULL
	tha	Thai	Standard Version	THALPF	20200000	Thailand	2020-12-09	NULL,NULL
	ddn	Dendi	2018 Bibles International	DDNBIV	30000	Benin	2020-12-03	2021-05-30	2018-04-04	
	ikk	Ika	2010 Wycliffe Bible Translators, Inc	IKKWBT	22800	Nigeria	2020-12-03	2021-05-25	2022-06-20	
	med	Melpa	1995 Wycliffe Bible Translators, Inc.	MEDPNG	130000	Papua New Guinea	2020-12-03	2022-03-01	2018-05-16	
	xsb	Sambali	1999 Wycliffe Bible Translators Inc.	XSBWYI	70000	Philippines	2020-12-03	2022-03-03	2018-04-04	
	gau	Gadaba, Mudhili	Wycliffe India, 2019	GAUWIN	8000	India	2020-12-03	2022-02-08	2021-03-23	
	mye	Myene	1999 Bible Society of Gabon	MYEBSG	46700	Gabon	2020-12-03	2022-03-01	NULL
	pbi	Podoko	1992 Wycliffe	PBIWYI	30000	Cameroon	2020-12-03	2022-03-02	2018-04-04	
	guq	Aché	LETRA	GUQLPY	1000	Paraguay	2020-12-03	2022-03-02	2018-04-04	
	npy	Napu	Today's Napu Version, 2000	NPYLAI	6100	Indonesia	2020-12-03	2022-03-01	2018-04-04	
	zpl	Zapoteco de Lachixío	2010 Bible League International	ZPLTBL	6500	Mexico	2020-12-03	2022-02-10	2018-04-13	
	maw	Mampruli	2001 Wycliffe Bible Translators Inc.	MAWWBT	220000	Ghana	2020-12-03	2022-03-01	2022-04-06	
	qvm	Quechua, Margos	Bible League International	QVMTBL	83400	Peru	2020-12-03	2022-03-02	2018-04-13	
	pko	Pökoot	2008 Bible Society of Kenya	PKOPKO	633000	Kenya	2020-12-03	2022-03-02	NULL
	cuc	Chinanteco de Usila	1985 World Home Bible League	CUCTBL	7410	Mexico	2020-12-03	2021-05-24	2018-04-13	
	mop	Maya, Mopán	2004 Wycliffe Bible Translators Inc.	MOPWBT	9200	Belize	2020-12-03	2022-03-01	2018-04-13	
	iou	Tuma-Irumu	1997, 2011 Wycliffe Bible Translators, Inc.	IOUTBL	1100	Papua New Guinea	2020-12-02	2021-05-25	2018-05-16	
	otq	Otomí de Querétaro	2003 Bible League International	OTQTBL	33000	Mexico	2020-12-02	2022-02-09	2018-04-13	
	azg	San Pedro Amuzgo	La Liga Bíblica 1992	AZGTBL	3480	Mexico	2020-11-30	2021-04-23	2018-04-13	
	hdy	Hadiyya	1992 Bible Society of Ethiopia	HDYHDY	1250000	Ethiopia	2020-11-25	2022-03-02	NULL
	ewe	Ewe	Ghana - 2010 Bible Society of Ghana	EWEB11	NULL	Ghana	2020-11-13	2021-06-29	2022-04-05	
	ida	Lukakamega	2002 Bible Society of Kenya	IDANEW	598000	Kenya	2020-11-13	2022-03-02	NULL
	bkd	Binukid	2015 Edition	BKDWBT	100000	Philippines	2020-11-13	2021-04-24	2019-02-08	
	mer	Kimeru	2010 Bible Society of Kenya	MERUBS	1658000	Kenya	2020-11-13	2022-03-01	NULL
	sri	Siriano	2009 Wycliffe Bible Translators Inc.	SRIWBT	200	Colombia	2020-11-13	2022-03-02	2018-04-13	
	kwd	Kwaio	2013, Wycliffe Bible Translators, Inc	KWDWBT	13200	Solomon Islands	2020-11-13	2022-03-01	2022-04-06	
	mnf	Mundani	2006 CABTAL	MNFCAB	34000	Cameroon	2020-11-13	2022-03-01	2018-04-04	
	ifu	Mayoyao Ifugao	2004 WPS	IFUWPS	30000	Philippines	2020-11-12	2021-05-25	2018-12-06	
	hoc	Ho	Bible Society of India	HOCIEM	1040000	India	2020-11-11	2022-03-02	2022-04-05	
	pce	Ruching Palaung	2012 Edition	PCEHMJ	258000	Myanmar (Burma)	2020-11-11	2022-03-02	NULL
	dtp	Kadazan Dusun	Today's Dusun Version Revised	DTPBSM	141000	Malaysia	2020-11-11	2022-03-02	2018-03-22	
	tbl	Tboli	2007 Wycliffe Bible Translators, In	TBLWBT	95300	Philippines	2020-11-11	2022-03-02	2021-07-15	
	cso	Chinanteco de Sochiapan	1986, Wycliffe Bible Translators, Inc.	CSOTBL	3590	Mexico	2020-11-11	2021-05-25	2018-04-13	
	guz	Ekegusii	1990 Bible Society of Kenya	GUZGUZ	2205000	Kenya	2020-11-11	2022-03-02	NULL
	mnw	Mon	Public Domain	MNWPDV	743000	Myanmar (Burma)	2020-11-11	2022-03-01	2022-04-07	
	kan	Kannada	Kannada Contemporary Translation	KANLPF	37700000	India	2020-11-11	NULL,NULL
	saj	Sahu	2015 Lembaga Alkitab Indonesia	SAJBSI	7500	Indonesia	2020-11-10	2022-02-09	2022-04-06	
	wob	Wè Northern	2010 Wycliffe Bible Translators Inc.	WOBWBT	156000	Ivory Coast	2020-11-10	2022-03-03	2018-04-04	
	dyo	Jola-Fogny	2011 Bible Society in the Gambia	DYOBSG	340000	Senegal	2020-11-03	2022-03-02	2018-04-04	
	aaz	Amarasi	 2015, Unit Bahasa dan Budaya	AAZEPC	70000	Indonesia	2020-11-02	2021-04-15	NULL
	djk	Aukaans	1999 Wycliffe Bible Translators Inc.	DJKWBT	15500	Suriname	2020-11-02	2022-03-02	2018-04-13	
	nij	Ngaju	Today's Dayak Ngaju Version	NIJLAI	890000	Indonesia	2020-10-30	2021-06-30	2018-03-22	
	gnd	Zulgo	1988 Wycliffe	GNDWYI	26000	Cameroon	2020-10-30	2022-03-02	2018-04-04	
	mah	Marshallese	2009 Words of Grace Ministries	MAHNKRM	43900	Marshall Islands	2020-10-30	2022-01-05	2018-04-04	
	zae	Zapoteco, Yareni	Wycliffe Bible Translators Inc.	ZAEWBT	2900	Mexico	2020-10-30	2018-04-16	2018-04-04	
	tnr	Münik	Mission Evangelique (NTM), 2015	TNRNTM	3380	Senegal	2020-10-30	2022-03-02	2018-04-04	
	sgb	Ayta Mag-antsi	2006 Bible League	SGBTBL	8200	Philippines	2020-10-27	2022-03-02	2018-04-13	
	sja	Eperã Pedee (Saija)	2005 Bible League International	SJATBL	3500	Colombia	2020-10-23	2022-03-02	2018-04-13	
	sna	Shona	Union Shona	SNABSZ	10700000	Zimbabwe	2020-10-22	2022-02-09	NULL
	tlb	Tobelo	Today's Tobelo Version	TLBLAI	27700	Indonesia	2020-10-22	2022-02-10	2018-04-04	
	lia	Limba West	2009 Bible Society in Sierra Leone	LIALIA	335000	Sierra Leone	2020-10-22	2022-03-01	2018-03-22	
	khq	Songhay, Timbuktu - Koyra Ciini	2017 Bibles International	KHQBIV	200000	Mali	2020-10-22	2022-02-09	2022-04-06	
	deu	German	Hoffnung für alle®	DEUHOF	75300000	Germany	2020-10-22	2022-01-26	2020-03-03	
	qxr	Quichua Cañar Highland	Sociedades Bíblicas Unidas de 		Ecuador 2010	QXRBSE	100000	Ecuador	2020-10-22	2022-03-02	2018-03-22	
	yli	Yali, Angguruk	Today’s Yali Angguruk Version, 1998	YLILAI	15000	Indonesia	2020-10-15	2021-07-02	2018-04-04	
	dgk	Dagba	2018 Bibles International	DGKBIV	34000	Central African Republic	2020-10-14	2022-03-02	2022-04-05	
	dig	Digo	2007 Bible League Intl.	DIGTBL	217000	Kenya	2020-10-14	2022-02-08	2018-04-04	
	dzo	Dzongkha	2012 Central Asia Publisher	DZOEHP	160000	Bhutan	2020-10-14	2022-03-02	2022-04-05	
	krj	Kinaray-a	2009 Wycliffe Bible Translators, Inc.	KRJWBT	378000	Philippines	2020-10-14	2022-03-01	2022-04-06	
	lhu	Lahu	1989 Thailand Bible Society	LHUTBS	280000	Thailand	2020-10-14	2022-03-01	2018-03-22	
	lok	Loko	1983 Lutheran Bible Translators, Inc.	LOKNET	138000	Sierra Leone	2020-10-14	2022-03-01	2018-04-04	
	txq	Tii	Manetualain Dede'a-kokolan	TXQWYI	20000	Indonesia	2020-10-13	2022-02-10	2022-04-05	
	kno	Kono	2006 Bible Society in Sierra Leone	KNOBSL	205000	Sierra Leone	2020-10-13	2022-03-01	2018-03-22	
	adh	Adhola	2002 Bible Society of Uganda	ADHBSU	360000	Uganda	2020-10-12	2021-04-22	2018-03-22	
	ntj	Ngaanyatjarra	2008 Bible Society Australia	NTJBSA	1000	Australia	2020-10-12	NULL,NULL
	bfd	Bafut	1999 Wycliffe Bible Translators Inc.	BFDWBT	105000	Cameroon	2020-10-12	2021-04-23	2018-04-04	
	kqe	Kalagan, Eastern	BLI 2012	KQEBLI	70000	Philippines	2020-10-06	2022-03-01	2018-04-04	
	dbq	Daba	Wycliffe Bible Translators, Inc., 2015	DBQ015	24000	Cameroon	2020-10-06	2021-05-30	2022-04-05	
	abp	Ayta, Abellen	Wycliffe Bible Translators, Inc.	ABPWBT	3000	Philippines	2020-10-06	2021-05-27	2022-04-04	
	kng	Kikongo	2003 Bible Society	KNGK05	3000000	Democratic Republic of the Congo	2020-10-05	2022-03-01	NULL
	fan	Fang	Bible Society of Gabon	FANBSG	534000	Equatorial Guinea	2020-10-05	2018-02-13	NULL
	dag	Dagbani	2007 Bible Society of Ghana	DAGFUL	800000	Ghana	2020-10-01	2021-05-30	NULL
	gym	Guaymi	2004 Wycliffe Bible Translators Inc.	GYMWBT	169000	Panama	2020-10-01	2022-03-02	2022-04-05	
	keo	Kakwa	1977 Bible Society of Uganda	KEOBSU	130000	Uganda	2020-10-01	2021-10-20	2018-03-22	
	nia	Nias	Today's Nias Version, 2006	NIAIBS	770000	Indonesia	2020-09-30	2022-03-01	2018-04-04	
	sfw	Sehwi	2006 Bible Society of Ghana	SFWBIB	250000	Ghana	2020-09-30	2022-03-02	NULL
	mfi	Mandara	1988 Wycliffe	MFIWYI	23500	Cameroon	2020-09-30	2022-03-02	2022-04-07	
	con	Cofán	1998 Wycliffe Bible Translators Inc.	CONWBT	NULL	Ecuador	2020-09-30	2022-03-02	2018-04-13	
	kzf	Kaili, Da'a	Today's Da'a Version, 1998	KZFLAI	55000	Indonesia	2020-09-29	2021-07-01	2022-04-06	
	blz	Balantak	Formal Balantak version, 2010	BLZLAI	30000	Indonesia	2020-09-29	2021-05-23	2018-04-13	
	coe	Koreguaje	2007 Wycliffe Bible Translators Inc.	COEWBT	2100	Colombia	2020-09-25	2021-05-24	2018-04-04	
	tik	Tikar	1989 Wycliffe	TIKWYI	25000	Cameroon	2020-09-25	2022-03-02	2018-04-04	
	kor	Korean, North	Sanuri Bible	KORLPV	NULL	North Korea	2020-09-25	NULL,NULL
	bep	Behóá	2015 Lembaga Alkitab Indonesia	BEPLAI	10000	Indonesia	2020-09-21	2021-04-23	2021-07-01	
	bod	Tibetan, Lhasa	Central Tibetan Bible	BODCAP	NULL	China	2020-09-18	2022-02-02	2021-01-05	
	ptu	Bambam	2004 Indonesian Bible Society	PTULAI	22000	Indonesia	2020-09-18	2022-03-02	2018-05-16	
	ppk	Uma	Today's Uma Version - 1999	PPKLAI	20000	Indonesia	2020-09-18	2022-03-02	2018-04-04	
	huu	Huitoto Murui	1978 Wycliffe Bible Translators, Inc.	HUUTBL	1000	Peru	2020-09-17	2022-03-02	2018-04-04	
	kmr	Kurdish Kurmanji	Transcaucasia	KMRMBN	15000000	Turkey	2020-09-17	2022-03-01	2018-09-24	
	bzj	Belize Kriol	2012 Wycliffe	BZJBSW	70000	Belize	2020-09-17	2022-03-02	2018-04-13	
	tca	Ticuna	1986 Bible League International	TCATBL	32600	Peru	2020-09-17	2022-03-02	2018-04-13	
	kbo	Keliko	2018 Wycliffe Bible Translators, Inc	KBOWBT	10000	South Sudan	2020-09-17	2022-03-01	2022-04-06	
	yea	Ravula	New Life Computer Institute	YEANLC	26900	India	2020-09-17	2022-03-03	2022-04-07	
	myy	Macuna	Sociedad Biblica Internacional 1989	MYYWBT	1000	Colombia	2020-09-17	2022-02-09	2018-04-13	
	kkj	Kako	1999 Wycliffe Bible Translators Inc.	KKJWBT	100000	Cameroon	2020-09-17	2022-03-01	2018-04-04	
	xed	Hdi	2013 Wycliffe Bible Translators, Inc.	XEDWYI	25000	Cameroon	2020-09-16	2022-02-10	2018-04-13	
	ceg	Chamacoco	2000 New Tribes Mission Paraguay	CEGNTP	1800	Paraguay	2020-09-16	2022-03-02	2018-03-22	
	kmr	Kurdish Kurmanji	Transcaucasia	KMRKKN	15000000	Turkey	2020-09-16	2022-03-01	2018-09-24	
	cpu	Ashéninka Pichis	2008, Wycliffe Bible Translators, Inc	CPUWBT	12000	Peru	2020-09-09	2022-03-02	2022-04-04	
	yao	Chiyao	2008 Bible Society of Malawi	YAOBSM	2200000	Malawi	2020-09-09	2022-03-03	NULL
	hub	Huambisa	2010 Wycliffe Bible Translators, Inc.	HUBWBT	9330	Peru	2020-09-09	2022-03-02	2018-04-13	
	gvc	Guanano	2007 Bible League International	GVCTBL	450	Colombia	2020-09-09	2022-03-02	2018-04-13	
	dnw	Lani	2009 Lembaga Alkitab Indonesia	DNWOWM	180000	Indonesia	2020-09-09	2022-03-02	2018-04-04	
	wal	Wolaitta	2004 SIM and Kale Heywet Church	WALSIME	1710000	Ethiopia	2020-09-09	2022-03-03	2018-04-04	
	cjs	Shor	2011 Institute for Bible Translation, Moscow	CJSIBM	2840	Russia	2020-09-09	2021-07-08	NULL
	cme	Cerma	2011 Wycliffe Bible Translators Inc.	CMEWBT	61400	Burkina Faso	2020-09-03	2021-05-24	2018-04-13	
	tat	Tatar	2015 Institute for Bible Translation, Moscow	TATDPI	4280000	Russia	2020-09-03	2022-02-09	2022-04-05	
	bky	Bokyi	Lutheran Church of Nigeria and Bible Society of Nigeria, 1978 and 1985	BKYBSN	140000	Nigeria	2020-08-31	2021-04-24	NULL
	mhr	Mari-Meadow	Institute for Bible Translation	MHRIBT	388000	Russia	2020-08-31	2022-03-01	2018-04-04	
	kdt	Kui	Wycliffe Bible Translators	KDTWYI	400000	Thailand	2020-08-31	2022-03-01	2021-01-05	
	rif	Tarifit	2020 Edition	RIFNVS	1270000	Morocco	2020-08-31	2021-05-04	2021-01-06	
	tby	Tabaru	Today's Tabaru Version, 2008	TBYLAI	15000	Indonesia	2020-08-31	2022-03-02	2022-04-06	
	lex	Luang	2005 Wycliffe Bible Translators, Inc	LEXWBT	18000	Indonesia	2020-08-31	2022-03-01	2022-05-19	
	wal	Wolaitta	2004 SIM and Kale Heywet Church	WALSIM	1710000	Ethiopia	2020-08-31	2022-03-03	2018-04-13	
	kaq	Capanahua	1978, 2008 La Liga Bíblica	KAQWBT	50	Peru	2020-08-24	2022-03-01	2018-03-22	
	njh	Naga, Lotha	Common Language Version	NJHCLV	170000	India	2020-08-24	NULL,NULL
	mhy	Dayak Ma'anyan	1999 Lembaga Alkitab Indonesia	MHYLAI	150000	Indonesia	2020-08-21	2022-03-01	2022-04-05	
	ifb	Ayangan Ifugao	2010 Wycliffe Bible Translators	IFBTBL	43000	Philippines	2020-08-21	2021-05-25	2018-04-04	
	kje	Kisar	2007 Edition	KJEWBT	20000	Indonesia	2020-08-19	2022-03-01	2022-04-06	
	ben	Bengali - Bangladesh	Common Language Version	BENCLV	110000000	Bangladesh	2020-08-17	2021-05-04	2018-03-22	
	sid	Sidama	2015 Bible Society of Ethiopia	SIDBSE	2980000	Ethiopia	2020-08-17	2022-03-02	2022-05-20	
	tem	Themne	Bible Society in Sierra Leone	TEMBSL	1230000	Sierra Leone	2020-08-17	2022-03-02	2018-03-22	
	kpz	Kupsapiny	1995 Bible Society of Uganda	KPZBSU	181000	Uganda	2020-08-17	2022-03-01	2018-03-22	
	mvp	Duri	Today's Duri Version, 2005	MVPLAI	127000	Indonesia	2020-08-14	2022-03-01	2018-04-04	
	log	Logo	2015 Edition	LOGLOG	210000	Democratic Republic of the Congo	2020-08-14	2022-03-01	NULL
	biu	Biate	Bible Society of India	BIUFUL	19000	India	2020-08-14	NULL,NULL
	atq	Aralle-Tabulahan	2004 Lembaga Alkitab Indonesia	ATQLAI	12000	Indonesia	2020-08-14	2021-04-23	2018-04-04	
	cbs	Junikuin	La Sociedad Bíblica Peruana	CBSBSP	750	Peru	2020-08-07	2021-05-24	2018-04-04	
	tna	Tacana	2009 The Bible League	TNATBL	1820	Bolivia	2020-08-07	2022-03-02	2018-04-04	
	lid	Nyindrou	1987, 2001 Wycliffe Bible Translators, Inc.	LIDWBT	4200	Papua New Guinea	2020-08-07	2022-02-09	2022-04-07	
	laj	Lango	1978 Bible Society of Uganda	LAJBSU	1490000	Uganda	2020-08-05	2022-03-01	2018-03-22	
	niy	Ndrǔna	2015 Wycliffe Bible Translators, Inc.	NIYWYI	100000	Democratic Republic of the Congo	2020-08-05	2022-03-01	NULL
	saq	Samburu	2018 Bible Translation & Literacy	SAQBTL	237000	Kenya	2020-08-04	2022-03-02	2022-04-06	
