	iso	lang_name	bible_name	bible_id	population	country	video_date	audio_date	text_date	
	acr	Achí	2009 Wycliffe Bible Translators Inc.	ACRNNT	85600	Guatemala	2022-03-02	2021-04-15	2018-03-22	
	acr	Achí	2009 Wycliffe Bible Translators Inc.	ACRTNT	85600	Guatemala	2022-03-02	2021-04-22	2018-03-22	
	slu	Selaru	Selaru Book of Mark	SLUYPM	8000	Indonesia	2022-03-01	2021-10-29	2022-03-29	
	bcc	Balochi, Southern	WBT Edition (Partial NT)	BCCWBT	2770000	Pakistan	2022-03-01	2021-05-28	2019-10-15	
	min	Minangkabau	Today's Minang Version, 2010	MINLAI	5530000	Indonesia	2022-02-24	2022-03-01	2018-04-04	
	cwa	Kabwa	Wycliffe Bible Translators, Inc	CWAWYI	14000	Tanzania	2022-02-24	2022-02-22	2022-03-01	
	bzi	Bisu	Wycliffe Bible Translators, Inc	BZIWBT	240	Thailand	2022-02-24	2022-02-07	2021-09-01	
	nlk	Yali, Selatan	Wene Sali Keron	NLKLAI	10500	Indonesia	2022-02-24	2022-03-01	2022-04-05	
	crt	Chorote, Iyojwa’ja	Sociedad Bíblicas Unidas 1997	CRTBSA	800	Argentina	2022-02-22	2021-05-25	2022-04-12	
	ztq	Zapoteco de Quioquitani	2009, Wycliffe Bible Translators, Inc.	ZTQTBL	4000	Mexico	2022-02-21	2022-02-10	2018-04-13	
	nan	Penang Hokkien	Wycliffe Malaysia	NANHOT	NULL	Taiwan	2022-02-21	2022-02-22	NULL
	kfw	Kharam	The Word For The World	KFWWFW	1400	India	2022-02-21	2022-02-22	NULL
	elm	Eleme	2001 Bible Society of Nigeria	ELMNEWP	58000	Nigeria	2022-02-18	2022-03-02	NULL
	kay	Kamayurá	Alem Version	KAYALE	400	Brazil	2022-02-17	2022-02-08	2020-09-02	
	sck	Sadri	Indian Evangelical Mission	SCKIEM	3290000	India	2022-02-17	2021-11-04	2018-04-04	
	mfz	Mabaan	2002 SIM	MFZBSS	50000	South Sudan	2022-02-17	2022-03-01	2018-04-04	
	xnj	Kingoni	Pioneer Bible Translators	XNJPBT	170000	Tanzania	2022-02-16	2022-02-16	2022-02-16	
	gum	Guambiano	2000 Bible League International	GUMTBL	21000	Colombia	2022-02-16	2022-03-02	2018-04-13	
	maq	Mazatec, Chiquihuitlan	1991 Wycliffe Bible Translators, Inc.	MAQTBL	1500	Mexico	2022-02-15	2021-06-30	2018-05-16	
	qxn	Quechua, Northern Conchucos Ancash	2006 Wycliffe Bible Translators Inc.	QXNWBT	250000	Peru	2022-02-14	2022-03-02	2018-04-13	
	tao	Tao	The Bible Society in Taiwan, 1994	TAOBST	3380	Taiwan	2022-02-11	2022-03-02	2022-04-05	
